step=00314 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00315 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00316 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00317 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00318 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00319 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00320 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00321 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00322 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00323 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00324 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00325 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00326 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00327 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00328 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00329 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00330 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00331 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00332 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00333 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00334 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00335 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00336 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
